"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5880","titletest","chromium","Wed Nov 12 12:54:13 IST 2025","passed","Wed Nov 12 12:54:19 IST 2025","","reports.spec.ts","",""
"","4875","laptop","chromium","Wed Nov 12 12:54:19 IST 2025","passed","Wed Nov 12 12:54:24 IST 2025","","reports.spec.ts","",""
